index,sub_id,group_id,phase_id,trial,mt,good
624,116,1,2,19,12.47,0
625,116,1,2,20,10.374,0
626,116,1,2,21,14.795,0
627,116,1,2,22,10.954,0
628,116,1,2,23,12.017,0
629,116,1,2,24,9.373,0
630,116,1,2,25,10.318,0
631,116,1,2,26,10.219,0
632,116,1,2,27,12.325,0
633,116,1,2,28,9.475,0
634,116,1,2,29,16.462,0
635,116,1,2,30,9.966,0
636,116,1,3,1,,1
637,116,1,3,2,9.271,0
638,116,1,3,3,10.17,0
639,116,1,3,4,11.05,0
640,116,1,3,5,9.048,0
641,117,1,1,1,17.731,0
642,117,1,1,2,15.811,0
643,117,1,1,3,14.113,0
644,117,1,1,4,12.092,0
645,117,1,1,5,11.763,0
646,117,1,2,1,14.573,0
647,117,1,2,2,12.329,0
648,117,1,2,3,11.001,0
649,117,1,2,4,10.675,0
650,117,1,2,5,10.501,0
651,117,1,2,6,9.275,0
652,117,1,2,7,9.886,0
653,117,1,2,8,11.723,0
654,117,1,2,9,9.897,0
655,117,1,2,10,10.083,0
656,117,1,2,11,,1
657,117,1,2,12,12.228,0
658,117,1,2,13,12.079,0
659,117,1,2,14,10.245,0
660,117,1,2,15,10.398,0
661,117,1,2,16,10.289,0
662,117,1,2,17,9.332,0
663,117,1,2,18,10.585,0
664,117,1,2,19,9.507,0
665,117,1,2,20,8.791,0
666,117,1,2,21,10.55,0
667,117,1,2,22,10.299,0
668,117,1,2,23,9.287,0
669,117,1,2,24,9.313,0
670,117,1,2,25,10.305,0
671,117,1,2,26,10.926,0
672,117,1,2,27,8.888,0
673,117,1,2,28,10.951,0
674,117,1,2,29,8.833,0
675,117,1,2,30,10.97,0
676,117,1,3,1,11.365,0
677,117,1,3,2,11.835,0
678,117,1,3,3,9.176,0
679,117,1,3,4,11.64,0
680,117,1,3,5,8.709,0
681,118,1,1,1,21.719,0
682,118,1,1,2,13.338,0
683,118,1,1,3,11.349,0
684,118,1,1,4,10.634,0
685,118,1,1,5,11.463,0
686,118,1,2,1,13.931,0
687,118,1,2,2,11.71,0
688,118,1,2,3,11.366,0
689,118,1,2,4,11.394,0
690,118,1,2,5,14.018,0
691,118,1,2,6,10.841,0
692,118,1,2,7,9.105,0
693,118,1,2,8,11.382,0
694,118,1,2,9,10.281,0
695,118,1,2,10,8.823,0
696,118,1,2,11,8.446,0
697,118,1,2,12,11.078,0
698,118,1,2,13,9.78,0
699,118,1,2,14,10.096,0
700,118,1,2,15,8.809,0
701,118,1,2,16,9.378,0
702,118,1,2,17,8.829,0
703,118,1,2,18,9.871,0
704,118,1,2,19,8.008,0
705,118,1,2,20,10.984,0
706,118,1,2,21,7.75,0
707,118,1,2,22,7.012,0
708,118,1,2,23,10.551,0
709,118,1,2,24,9.665,0
710,118,1,2,25,8.91,0
711,118,1,2,26,,1
712,118,1,2,27,9.059,0
713,118,1,2,28,7.78,0
714,118,1,2,29,9.794,0
715,118,1,2,30,7.879,0
716,118,1,3,1,9.123,0
717,118,1,3,2,8.371,0
718,118,1,3,3,8.236,0
719,118,1,3,4,7.846,0
720,118,1,3,5,10.494,0
721,119,1,1,1,,1
722,119,1,1,2,11.716,0
723,119,1,1,3,12.506,0
724,119,1,1,4,13.261,0
725,119,1,1,5,11.652,0
726,119,1,2,1,11.809,0
727,119,1,2,2,8.465,0
728,119,1,2,3,11.87,0
729,119,1,2,4,7.736,0
730,119,1,2,5,7.249,0
731,119,1,2,6,10.236,0
732,119,1,2,7,6.635,0
733,119,1,2,8,12.476,0
734,119,1,2,9,14.169,0
735,119,1,2,10,9.806,0
736,119,1,2,11,10.492,0
737,119,1,2,12,11.541,0
738,119,1,2,13,9.292,0
739,119,1,2,14,13.536,0
740,119,1,2,15,10.522,0
741,119,1,2,16,8.128,0
742,119,1,2,17,10.808,0
743,119,1,2,18,11.633,0
744,119,1,2,19,9.15,0
745,119,1,2,20,7.831,0
746,119,1,2,21,15.459,0
747,119,1,2,22,7.924,0
748,119,1,2,23,10.011,0
749,119,1,2,24,11.232,0
750,119,1,2,25,6.296,0
751,119,1,2,26,17.612,0
752,119,1,2,27,11.501,0
753,119,1,2,28,15.608,0
754,119,1,2,29,14.217,0
755,119,1,2,30,7.098,0
756,119,1,3,1,10.512,0
757,119,1,3,2,8.869,0
758,119,1,3,3,8.369,0
759,119,1,3,4,10.488,0
760,119,1,3,5,8.789,0
761,120,1,1,1,17.607,0
762,120,1,1,2,,1
763,120,1,1,3,14.124,0
764,120,1,1,4,11.969,0
765,120,1,1,5,12.592,0
766,120,1,2,1,12.834,0
767,120,1,2,2,10.342,0
768,120,1,2,3,11.498,0
769,120,1,2,4,12.32,0
770,120,1,2,5,11.927,0
771,120,1,2,6,12.451,0
772,120,1,2,7,9.924,0
773,120,1,2,8,9.594,0
774,120,1,2,9,9.771,0
775,120,1,2,10,9.134,0
776,120,1,2,11,12.455,0
777,120,1,2,12,10.224,0
778,120,1,2,13,9.846,0
779,120,1,2,14,10.924,0
780,120,1,2,15,11.632,0
781,120,1,2,16,14.232,0
782,120,1,2,17,9.974,0
783,120,1,2,18,9.788,0
784,120,1,2,19,11.577,0
785,120,1,2,20,10.634,0
786,120,1,2,21,12.259,0
787,120,1,2,22,12.255,0
788,120,1,2,23,13.215,0
789,120,1,2,24,11.18,0
790,120,1,2,25,12.046,0
791,120,1,2,26,9.178,0
792,120,1,2,27,9.655,0
793,120,1,2,28,11.146,0
794,120,1,2,29,9.491,0
795,120,1,2,30,9.677,0
796,120,1,3,1,10.972,0
797,120,1,3,2,9.404,0
798,120,1,3,3,10.933,0
799,120,1,3,4,10.067,0
800,120,1,3,5,9.139,0
801,121,1,1,1,24.048,0
802,121,1,1,2,12.739,0
803,121,1,1,3,15.133,0
804,121,1,1,4,10.858,0
805,121,1,1,5,12.303,0
806,121,1,2,1,10.1,0
807,121,1,2,2,12.437,0
808,121,1,2,3,9.325,0
809,121,1,2,4,10,0
810,121,1,2,5,10.265,0
811,121,1,2,6,8.103,0
812,121,1,2,7,10.509,0
813,121,1,2,8,9.151,0
814,121,1,2,9,9.469,0
815,121,1,2,10,9.523,0
816,121,1,2,11,9.097,0
817,121,1,2,12,9.835,0
818,121,1,2,13,9.947,0
819,121,1,2,14,8.916,0
820,121,1,2,15,10.125,0
821,121,1,2,16,9.279,0
822,121,1,2,17,8.297,0
823,121,1,2,18,9.442,0
824,121,1,2,19,15.366,0
825,121,1,2,20,9.485,0
826,121,1,2,21,9.092,0
827,121,1,2,22,8.585,0
828,121,1,2,23,6.802,0
829,121,1,2,24,8.59,0
830,121,1,2,25,10.908,0
831,121,1,2,26,14.954,0
832,121,1,2,27,7.586,0
833,121,1,2,28,7.368,0
834,121,1,2,29,9.443,0
835,121,1,2,30,7.104,0
836,121,1,3,1,10.618,0
837,121,1,3,2,7.767,0
838,121,1,3,3,8.454,0
839,121,1,3,4,10.705,0
840,121,1,3,5,8.712,0
841,122,1,1,1,12.344,0
842,122,1,1,2,10.803,0
843,122,1,1,3,10.677,0
844,122,1,1,4,10.667,0
845,122,1,1,5,10.477,0
846,122,1,2,1,9.667,0
847,122,1,2,2,12.2,0
848,122,1,2,3,9.152,0
849,122,1,2,4,8.762,0
850,122,1,2,5,9.61,0
851,122,1,2,6,9.137,0
852,122,1,2,7,11.986,0
853,122,1,2,8,9.527,0
854,122,1,2,9,7.942,0
855,122,1,2,10,7.763,0
856,122,1,2,11,12.019,0
857,122,1,2,12,12.836,0
858,122,1,2,13,10.637,0
859,122,1,2,14,8.249,0
860,122,1,2,15,8.057,0
861,122,1,2,16,9.021,0
862,122,1,2,17,7.841,0
863,122,1,2,18,7.787,0
864,122,1,2,19,8.12,0
865,122,1,2,20,7.953,0
866,122,1,2,21,8.074,0
867,122,1,2,22,7.467,0
868,122,1,2,23,8.59,0
869,122,1,2,24,12.768,0
870,122,1,2,25,8.222,0
871,122,1,2,26,9.683,0
872,122,1,2,27,9.15,0
